enhancer_id	size	covered	sum	mean0	mean	dataset_label	genome_build_quant	quant_file	factor	source_db	series_accession	sample_accession	run_accession	assay_type	tissue	limb_type	dev_stage	genotype	replicate	control_accession	genome_build	file_type	download_url	preferred_use	reason_if_not_score	notes	rank_desc_mean0	percentile_rank
CNE19	613	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE21	690	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE13	425	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
mm2080	5250	2653	4426.0	0.843048	1.6683	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		10.0	0.25
mm2176	5457	1916	3008.0	0.551219	1.56994	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		11.0	0.16666666666666666
mm1859	5188	2868	4728.0	0.911334	1.64854	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		8.0	0.4166666666666667
mm2164	5620	3340	4820.0	0.857651	1.44311	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		9.0	0.3333333333333333
mm1887	5267	160	160.0	0.0303778	1.0	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		12.0	0.08333333333333333
mm1179	1516	0	0.0	0.0	0.0	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		13.0	0.0
mm1889	5399	3899	7558.0	1.39989	1.93845	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		7.0	0.5
CNE14_hs1586_mm1977	1119	1119	5749.0	5.13762	5.13762	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		1.0	1.0
mm2018	5256	4478	12108.0	2.30365	2.70389	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		4.0	0.75
CNE18	700	640	2438.0	3.48286	3.80938	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		2.0	0.9166666666666666
CNE19	613	563	1857.0	3.02936	3.2984	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		3.0	0.8333333333333334
CNE21	690	587	1237.0	1.79275	2.10733	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		6.0	0.5833333333333334
CNE13	425	395	788.0	1.85412	1.99494	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		5.0	0.6666666666666666
mm2080	5250	2210	3780.0	0.72	1.71041	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		10.0	0.25
mm2176	5457	2266	2926.0	0.536192	1.29126	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		11.0	0.16666666666666666
mm1859	5188	2315	3775.0	0.727641	1.63067	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		9.0	0.3333333333333333
mm2164	5620	3430	6680.0	1.18861	1.94752	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		8.0	0.4166666666666667
mm1887	5267	320	630.0	0.119613	1.96875	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		12.0	0.08333333333333333
mm1179	1516	0	0.0	0.0	0.0	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		13.0	0.0
mm1889	5399	3599	7098.0	1.31469	1.97221	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		7.0	0.5
CNE14_hs1586_mm1977	1119	1119	6751.0	6.03307	6.03307	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		1.0	1.0
mm2018	5256	4408	9152.0	1.74125	2.07623	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		4.0	0.75
CNE18	700	700	2082.0	2.97429	2.97429	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		2.0	0.9166666666666666
CNE19	613	513	1556.0	2.53834	3.03314	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		3.0	0.8333333333333334
CNE21	690	483	1026.0	1.48696	2.12422	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		5.0	0.6666666666666666
CNE13	425	425	599.0	1.40941	1.40941	GSM1019786_hl2_pitx1_chip	mm9	GSM1019786_hl2_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019786	SRX195357	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep2	GSM1019787	mm9	wig->bigWig	ftp_geo_sample	score	Rep2 PITX1 ChIP; GEO supplementary WIG		6.0	0.5833333333333334
mm2080	5250	600	600.0	0.114286	1.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		8.0	0.4166666666666667
mm2176	5457	600	600.0	0.109951	1.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		9.0	0.3333333333333333
mm1859	5188	700	900.0	0.173477	1.28571	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		7.0	0.5
mm2164	5620	2325	2700.0	0.480427	1.16129	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		4.0	0.75
mm1887	5267	0	0.0	0.0	0.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		12.0	0.08333333333333333
mm1179	1516	0	0.0	0.0	0.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		12.0	0.08333333333333333
mm1889	5399	1382	1607.0	0.297648	1.16281	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		6.0	0.5833333333333334
CNE14_hs1586_mm1977	1119	419	605.0	0.540661	1.44391	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		3.0	0.8333333333333334
mm2018	5256	1465	1815.0	0.34532	1.23891	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		5.0	0.6666666666666666
CNE18	700	325	600.0	0.857143	1.84615	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		1.0	1.0
CNE19	613	17	17.0	0.0277325	1.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		10.0	0.25
CNE21	690	0	0.0	0.0	0.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		12.0	0.08333333333333333
CNE13	425	261	261.0	0.614118	1.0	GSM348066_p300_wiggle	mm9	GSM348066_p300_wiggle.mm9.bigWigAverageOverBed.tsv	p300	GEO	GSE13845	GSM348066	SRX002661	ChIP-seq	embryonic limb	limb_unspecified	E11.5	CD1			mm9	wig->bigWig	ftp_geo_sample	score	Processed p300 weighted coverage track; mm9; GEO supplementary WIG		2.0	0.9166666666666666
